RelError,σ
0.00020351164724286285,  0.001
0.0011332878262743976, 0.005
-0.004317551707779795,  0.01
0.00010029515861861312,  0.001
-0.00035080599806061797, 0.005
-0.007151608190241511,  0.01
0.00013323349345109874,  0.001
0.005001330977768518, 0.005
0.0023953563351506164,  0.01
-0.0001989324111206634,  0.001
-0.001865543590739593, 0.005
-0.0008180259658222881,  0.01
0.00019047342776149737,  0.001
-0.0003693304263715796, 0.005
-0.002193345968136291,  0.01
-3.714915183563933e-5,  0.001
-0.0007898830256011217, 0.005
-0.0024434674838670427,  0.01
0.0006239232583202035,  0.001
0.0015415426452405575, 0.005
-0.005797124748305111,  0.01
0.00042836457197032536,  0.001
0.002840287673555603, 0.005
0.00031276504887733946,  0.01
0.00021249765807678796,  0.001
0.002115132678560943, 0.005
-0.018112484510242978,  0.01
-0.00024029805237393715,  0.001
-0.0026737654398710734, 0.005
-0.0027046306209041796,  0.01
7.869777259918543e-5,  0.001
0.002144483038774168, 0.005
-0.001629707695736545,  0.01
0.00032339670896316714,  0.001
-0.00024800187291926955, 0.005
-0.004285763117758982,  0.01
-9.589286605398605e-5,  0.001
-0.0022528076074595596, 0.005
-8.808322001793276e-5,  0.01
0.0002597506259663994,  0.001
0.0012497190763721998, 0.005
0.00028204144284567627,  0.01
-0.00021321409419552257,  0.001
0.004723889042663588, 0.005
-0.0005918868783045836,  0.01
-2.751844216252425e-5,  0.001
-0.001743338648994473, 0.005
0.005165426966706455,  0.01
0.00016609157075479747,  0.001
0.004080913584101946, 0.005
-0.005999429632066178,  0.01
0.0008404509032045595,  0.001
0.0009795421593094327, 0.005
0.0012956918333575718,  0.01
-0.0004413874310035315,  0.001
0.0008006981906474074, 0.005
0.0007282869099012291,  0.01
-0.0005928749913178015,  0.001
0.0009237992559010466, 0.005
0.0025467301108429564,  0.01
0.00012499649274227016,  0.001
0.0021431965802935636, 0.005
-0.00010978145858214978,  0.01
8.088560010475499e-5,  0.001
1.6435546473577386e-5, 0.005
0.0035024032682130623,  0.01
0.0011914974244133147,  0.001
-0.0004411708052646179, 0.005
0.002428517247850508,  0.01
9.643005898327612e-5,  0.001
-0.0005391074212535573, 0.005
0.0007963096204510445,  0.01
-0.00019584288265328371,  0.001
-0.003752650440713163, 0.005
-0.0015146842752387735,  0.01
-0.00014651461383197233,  0.001
0.0011821243789777072, 0.005
0.0007339994535478561,  0.01
9.78152646430311e-5,  0.001
-0.001374711244335348, 0.005
-0.00045960450438455513,  0.01
-0.0005514925727152006,  0.001
-1.0029551737807595e-5, 0.005
0.0015299021870951097,  0.01
-0.0003315947607961504,  0.001
-0.0033805816458119344, 0.005
-0.0016411021945256545,  0.01
2.6295024205688708e-5,  0.001
-0.0011726676424788272, 0.005
0.0014232508559666975,  0.01
-0.0002039639334421842,  0.001
0.0006628747885657703, 0.005
-0.0011631791650788797,  0.01
-0.0001327794249583422,  0.001
0.0026574808774863937, 0.005
-0.0031328963706778656,  0.01
-6.80328021176263e-5,  0.001
-0.004068649241227691, 0.005
0.0019494683915084036,  0.01
-0.0003135008384448732,  0.001
-0.0013946468028157406, 0.005
0.007349484744471767,  0.01
0.0003953317377495128,  0.001
0.0010110172290360025, 0.005
-0.001964314709595747,  0.01
0.0004603380891928523,  0.001
0.003932367885304253, 0.005
0.004080346946323136,  0.01
0.00013746114455155762,  0.001
0.00024603011185572916, 0.005
-0.006623863339242061,  0.01
0.0004544888292081609,  0.001
0.0026383242610075086, 0.005
0.0007793874080773315,  0.01
4.6658807447204e-5,  0.001
0.0049297859367057354, 0.005
-0.004443394097508064,  0.01
0.00034354431811889786,  0.001
0.004604803451725423, 0.005
0.004013844640159107,  0.01
0.0004792042182916673,  0.001
0.0006635280853036125, 0.005
-0.00042918978311388956,  0.01
0.00041213271991919533,  0.001
0.00015802100722503396, 0.005
-0.0011643866523226019,  0.01
7.854027013531412e-5,  0.001
0.004118275122371649, 0.005
0.0032291414498336144,  0.01
-0.0006738379748170777,  0.001
-0.002111876314366589, 0.005
0.002357572656699785,  0.01
-3.004825178431963e-6,  0.001
-0.0007858211238514176, 0.005
-0.003344931487068093,  0.01
-0.00043228162195198835,  0.001
-0.0008419736537649527, 0.005
-0.00022420445821310722,  0.01
0.0003846567302009969,  0.001
-0.0023314138935962166, 0.005
0.001442562178735267,  0.01
-0.00036441399694097835,  0.001
0.00021845810940816174, 0.005
-0.002045153168433331,  0.01
-0.00026910679355488486,  0.001
0.0033272859181744047, 0.005
-0.0011541121464858008,  0.01
-0.000630507482791417,  0.001
0.003254718413961953, 0.005
0.0016386681938437076,  0.01
0.00022467982671305192,  0.001
-0.0011113030002469452, 0.005
0.0017311968279935396,  0.01
