JSD,Norm,σ
0.07407431946040696, 0.007637499495720461, 0.005
0.045849509542149496, 0.0035371549145974696, 0.001
0.07852949557932429, 0.008677168229201575, 0.01
0.06827298462483473, 0.006377775321840444, 0.005
0.04688718943850157, 0.0036159269879850724, 0.001
0.07701878302256505, 0.008316008836667086, 0.01
0.07079303956891699, 0.007138570961707894, 0.005
0.045677423476173186, 0.003517897940418741, 0.001
0.07536780025989458, 0.008101225130355395, 0.01
0.0700914029788064, 0.007411485994396633, 0.005
0.046085866850340114, 0.0037386149972541164, 0.001
0.07678181514316008, 0.008400540533153717, 0.01
0.07001818323138952, 0.007164904583253633, 0.005
0.04579185967610575, 0.0035239317399095634, 0.001
0.07794021005832044, 0.008574490461504458, 0.01
0.06998241778760059, 0.0065708456784450975, 0.005
0.045437698968654835, 0.00340713455298796, 0.001
0.07510634896020504, 0.008262947984628817, 0.01
0.06789082169936156, 0.006737081252876019, 0.005
0.04857678767364775, 0.003989056656468792, 0.001
0.07619506937196296, 0.008602740373209895, 0.01
0.06953341099329434, 0.006822388725465733, 0.005
0.0475348772807812, 0.003750978214704361, 0.001
0.07820207159316644, 0.008718583236048981, 0.01
0.06877285446590484, 0.0073916096653510645, 0.005
0.04535957855702718, 0.003368259797939081, 0.001
0.08118913241221416, 0.008826936612479803, 0.01
0.06640331022632848, 0.0066794020385380765, 0.005
0.04538827311288675, 0.003613229008751269, 0.001
0.07906164466699292, 0.009069336806419338, 0.01
0.0694152724740392, 0.007096157082467256, 0.005
0.04555772550821374, 0.003441644618473094, 0.001
0.07841997353581823, 0.008780152912503333, 0.01
0.06971514152396469, 0.006962011177579171, 0.005
0.045685316420042, 0.003506644407679723, 0.001
0.07727762019667858, 0.008367323914062311, 0.01
0.07262175378503366, 0.008623769964782882, 0.005
0.045516139513107616, 0.0035115441945901913, 0.001
0.0746115698363121, 0.007900045819351565, 0.01
0.0721139754465796, 0.008085508988398217, 0.005
0.04669270536311467, 0.003565192880254544, 0.001
0.07541932456811572, 0.008215120826511716, 0.01
0.07119393277485327, 0.007209957559262188, 0.005
0.04483652027162656, 0.003400088666837082, 0.001
0.07891950128864442, 0.008724773447267867, 0.01
0.06991507221320002, 0.007315852487372001, 0.005
0.046376720951366655, 0.003578721186386279, 0.001
0.07574034103073563, 0.00809725856343373, 0.01
0.069484654255431, 0.007010995731701025, 0.005
0.04607060965778087, 0.003476608687299056, 0.001
0.07168359087336805, 0.007743870030053222, 0.01
0.06897593194705195, 0.006910297398225434, 0.005
0.04553119530543253, 0.003468053587810671, 0.001
0.07586019186351886, 0.008277316347322738, 0.01
0.06880734281213474, 0.00673312598922249, 0.005
0.04696267459106671, 0.003528105938786605, 0.001
0.0745016247938543, 0.008025595216454526, 0.01
0.07067212554691943, 0.007421046730456905, 0.005
0.04622941065432104, 0.0034429998819763066, 0.001
0.07686825338946272, 0.008195499211142035, 0.01
0.06899298660431201, 0.007296451025634407, 0.005
0.044542216385268646, 0.0034227084239124034, 0.001
0.07748027173077457, 0.0084486021595323, 0.01
0.06938441361378699, 0.006354136315125055, 0.005
0.04574687230940804, 0.0034640542315772507, 0.001
0.07501875961656614, 0.007863292623248261, 0.01
0.0684838003364747, 0.007138705364931918, 0.005
0.04420528109268185, 0.0034559173592587982, 0.001
0.07890974711661661, 0.008947720549165497, 0.01
0.06746347466285786, 0.00649281332354822, 0.005
