JSD,Norm,σ
0.00553968764588579, 0.007590686228115596, 0.01
0.004522508822631881, 0.006970918574248948, 0.005
0.0023060873616249215, 0.00438612034808964, 0.001
0.006028044443330832, 0.008480065572435386, 0.01
0.004493834988027043, 0.007032402760338043, 0.005
0.0024984927494690573, 0.004185965853924767, 0.001
0.005502470685109872, 0.007832011697301081, 0.01
0.0047562088396637826, 0.007346320690337952, 0.005
0.00256709551684642, 0.004894170669306518, 0.001
0.006053021926254613, 0.007795040981748115, 0.01
0.0043068624955030395, 0.007330233516233784, 0.005
0.002453735079837696, 0.004400509754475214, 0.001
0.006346887759937527, 0.007836336813442804, 0.01
0.004872608565591057, 0.0074073740639210356, 0.005
0.0026806894063209187, 0.004323052897702341, 0.001
0.006164544699892289, 0.008279671370313027, 0.01
0.004578947486478591, 0.007132284667853652, 0.005
0.0023103588985959374, 0.004567674378994347, 0.001
0.005510270196056816, 0.008724335849101676, 0.01
0.004126936977367249, 0.007446277376666971, 0.005
0.002459305993626133, 0.004244993003609044, 0.001
0.005712909674459093, 0.008354701192425679, 0.01
0.004874872700050449, 0.007091927644949192, 0.005
0.002458099398351385, 0.004490576436652717, 0.001
0.006373338973145885, 0.007410220515459125, 0.01
0.004956318153571609, 0.007278775125146803, 0.005
0.0023513337967356403, 0.004106186771433265, 0.001
0.005599686518274239, 0.00725732792335537, 0.01
0.005055093790980191, 0.007902009288337772, 0.005
0.0019692235766235627, 0.004227995400056177, 0.001
0.005807140081067088, 0.00824395926337587, 0.01
0.004617350264421842, 0.007607908578953556, 0.005
0.0028648773386133622, 0.004200481388051118, 0.001
0.006401850692732166, 0.007936569672755744, 0.01
0.004727872901614132, 0.0077962115826916605, 0.005
0.002625117219171506, 0.004274507485999444, 0.001
0.006138529579991538, 0.007550543460932299, 0.01
0.004786666704997672, 0.007506274054321031, 0.005
0.0029229045961158442, 0.004362472056223891, 0.001
0.006725958721066367, 0.008066504335325166, 0.01
0.0048544002464130055, 0.007264453194522935, 0.005
0.002221732511264211, 0.004386000131812562, 0.001
0.00582809983535987, 0.007938823933263485, 0.01
0.0046019031321789805, 0.0071188819077295604, 0.005
0.0025641953971855145, 0.004707805363109702, 0.001
0.00592075988212489, 0.008291116008530296, 0.01
0.004794886646599128, 0.007382928036058115, 0.005
0.0022462866361630824, 0.0045556259225961945, 0.001
0.0052070834156542, 0.008742307739714928, 0.01
0.004889983855582124, 0.007513791935811552, 0.005
0.0024309584282885847, 0.004363145021391619, 0.001
0.005610991642827459, 0.008724198592146909, 0.01
0.004699352551227656, 0.007067105863472964, 0.005
0.0023761391461861146, 0.004562749383019873, 0.001
0.00577076778973247, 0.007576538273967185, 0.01
0.004482035411588758, 0.006954756348607698, 0.005
0.002365155875740814, 0.004440207680649035, 0.001
0.005478479342581857, 0.0076166830916614804, 0.01
0.004313736360405681, 0.006919331357294545, 0.005
0.002767660827218913, 0.004507530253640768, 0.001
0.005926580083638592, 0.008184449596715418, 0.01
0.004555557239143198, 0.007574162327578054, 0.005
0.0029945293649114822, 0.0044022579838605535, 0.001
0.0056460176439009045, 0.0075808567017744705, 0.01
0.004684482974512721, 0.007261673156918568, 0.005
0.0023326295874721665, 0.004395848326707716, 0.001
0.005540166273785082, 0.00773895966009106, 0.01
0.004431627943440227, 0.007253078613272807, 0.005
0.0024267375134324246, 0.004256550987982651, 0.001
0.00601565396954969, 0.008360077818046274, 0.01
0.004516860894208618, 0.006892644191747916, 0.005
0.0024303972249579966, 0.004373474013041587, 0.001
0.005644631555934053, 0.007451209346081817, 0.01
0.005223715550400154, 0.006903260596243784, 0.005
0.0024412258431158653, 0.004325841389189578, 0.001
0.005839853633109942, 0.007888396079545857, 0.01
